settlement,region,population
Глядень,Красноярский край,1283
Муромцево,Омская область,9907
Баянгол,Республика Бурятия,2167
Весело-Вознесенка,Ростовская область,2036
Совхозное,Республика Крым,2439
Шаами-Юрт,Чеченская республика,4841
Поддорье,Новгородская область,1623
Долганка,Алтайский край,1292
Николаевка,Алтайский край,5111
Архиповское,Ставропольский край,1100
Беноково,Краснодарский край,1852
Атрать,Чувашская республика,1207
Михайловка,Республика Башкортостан,12802
Славгородское,Алтайский край,3494
Ликино,Московская область,1621
Сасово,Рязанская область,25747
Вельяминово,Московская область,2686
Редкино,Тверская область,11317
Новая Калитва,Воронежская область,2129
Аладьино,Рязанская область,1059
Развилка,Московская область,9778
Никольское,Липецкая область,3128
Созимский,Кировская область,1096
Алексеевская,Волгоградская область,3776
Никольское,Смоленская область,2101
Рамзай,Пензенская область,2073
Забойский,Краснодарский край,2894
Горки,Московская область,1767
Мотмос,Нижегородская область,2095
Восточный,Ставропольский край,1847
Бырма,Пермский край,1259
Загорский,Кемеровская область,2143
Теплый Колодезь,Белгородская область,1045
Болхов,Орловская область,11037
Вольненское,Республика Адыгея,4112
Калтан,Кемеровская область,20610
Борок,Ярославская область,1726
Новая Джегута,Карачаево-Черкесская республика,4044
Калининград,Калининградская область,467289
Пирогово,Удмуртская республика,3156
Маково,Астраханская область,1101
Знаменское,Свердловская область,2489
Знаменское,Орловская область,2677
Дмитриевка,Воронежская область,1197
Юсьва,Пермский край,4621
Павловка,Рязанская область,1007
Новотарманский,Тюменская область,3396
Искра,Оренбургская область,1747
Ольгинская,Краснодарский край,5096
Октябрьский,Свердловская область,4260
Пола,Новгородская область,1963
Мичурина,Республика Дагестан,4517
Дэдэ-Ичетуй,Республика Бурятия,1042
Федоровка,Республика Башкортостан,5125
Краснослободск,Волгоградская область,18817
Казанка,Республика Башкортостан,1386
Мундыбаш,Кемеровская область,4706
Ивановка,Курская область,1051
Хардиково,Орловская область,1655
Березовка,Пермский край,8032
Черновский,Самарская область,2737
Осыпной Бугор,Астраханская область,3800
Целинный,Челябинская область,1807
Усть-Ишим,Омская область,4476
Хворостянка,Липецкая область,1655
Пустошка,Псковская область,4103
Осиновка,Саратовская область,1111
Вындин Остров,Ленинградская область,1137
Татляр,Республика Дагестан,1510
Красное,Нижегородская область,2478
Майское,Калининградская область,1199
Коркино,Челябинская область,34967
Ивдель,Свердловская область,16235
Осинники,Кемеровская область,42454
Кояново,Пермский край,1493
Партизанское,Калининградская область,1215
Спасск,Кемеровская область,1552
Нижнеиртышское,Омская область,1490
Соколовка,Красноярский край,1004
Новотулка,Самарская область,1066
Тарумовка,Республика Дагестан,5874
Михалево,Московская область,1090
Евстратовка,Воронежская область,1426
Орловка,Новосибирская область,1047
Радуга,Ставропольский край,1600
Чесноковка,Оренбургская область,1056
Ембаево,Тюменская область,3148
Истье,Калужская область,1494
Вичевщина,Кировская область,1356
Сара,Оренбургская область,1238
Березовка,Амурская область,3173
Чалтырь,Ростовская область,18595
Высокий,Воронежская область,1266
Апшеронск,Краснодарский край,41133
Трусовский,Астраханская область,115208
совхоза им Ленина,Московская область,3964
Инсар,Республика Мордовия,7974
Щельяюр,Республика Коми,2720
Ножай-Юрт,Чеченская республика,8225
Богучаны,Красноярский край,11232
Бискамжа,Республика Хакасия,1308
Музаим,Республика Дагестан,2125
Красный Профинтерн,Ярославская область,1129
Крылов,Ростовская область,1014
Щучье,Курганская область,9068
Колесниково,Курганская область,1416
Зоркино,Республика Крым,1099
Поведники,Московская область,2363
Боровиха,Алтайский край,7384
Североуральск,Свердловская область,27062
Румянцево,Московская область,1626
Майдарово,Московская область,1251
Истра,Московская область,36284
Центральный,Тверская область,1193
Городище,Московская область,1790
Шувое,Московская область,2891
Новодрожжино,Московская область,2781
Кирсанов,Тамбовская область,16229
Уксянское,Курганская область,1715
Люк,Удмуртская республика,1818
Николаевка,Красноярский край,2077
Урал,Красноярский край,1832
Кривянская,Ростовская область,10493
Устье,Воронежская область,1258
Михайловка,Новосибирская область,1420
Снегиревка,Ленинградская область,1892
Писаревка,Воронежская область,1459
Подгорное,Воронежская область,7790
Атамановка,Забайкальский край,10650
Кузьмоловский,Ленинградская область,11546
Удельная,Московская область,15021
Андреевка,Оренбургская область,1527
Белозерки,Самарская область,2297
Мугерган,Республика Дагестан,2251
Липовка,Саратовская область,3602
Малета,Забайкальский край,2573
Тимашево,Самарская область,5202
Бражное,Красноярский край,1756
Аджидада,Республика Дагестан,1593
Совхоза Селезневский,Тамбовская область,4407
Погорелово,Вологодская область,1135
Танайка,Республика Татарстан,2120
Баяндай,Иркутская область,2584
Кокино,Брянская область,4495
Гонохово,Алтайский край,2370
Поросозеро,Республика Карелия,2289
Томтор,Республика Саха (Якутия),3235
Лесной,Ростовская область,1794
Нижние Вязовые,Республика Татарстан,9637
Петрово,Калининградская область,1138
Николаевка,Ульяновская область,5843
Кировск,Мурманская область,28832
Восходящий,Кемеровская область,1154
Белогорск,Амурская область,65809
Сагуны,Воронежская область,1250
Хунзах,Республика Дагестан,4688
Колпашево,Томская область,23260
Кропачево,Челябинская область,4531
Питкяранта,Республика Карелия,10705
Карьер Известняк,Пермский край,1574
Усть-Лабинск,Краснодарский край,41131
Подлесный,Республика Татарстан,1518
Александровка,Оренбургская область,5913
Балыктуюль,Республика Алтай,1281
Донское,Липецкая область,3808
Сосновка,Кировская область,10359
Скала,Новосибирская область,1876
